time,open,high,low,close,tick_volume,spread,real_volume
2021-12-22 11:27:00,114.274,114.295,114.274,114.289,36,0,0
2021-12-22 11:28:00,114.291,114.306,114.29,114.306,44,0,0
2021-12-22 11:29:00,114.306,114.308,114.302,114.304,21,0,0
2021-12-22 11:30:00,114.305,114.305,114.283,114.288,49,0,0
2021-12-22 11:31:00,114.288,114.297,114.282,114.294,30,0,0
2021-12-22 11:32:00,114.294,114.299,114.293,114.295,41,0,0
2021-12-22 11:33:00,114.293,114.299,114.284,114.284,44,0,0
2021-12-22 11:34:00,114.282,114.301,114.282,114.299,37,0,0
2021-12-22 11:35:00,114.3,114.309,114.293,114.306,55,0,0
2021-12-22 11:36:00,114.307,114.308,114.299,114.301,53,0,0
2021-12-22 11:37:00,114.302,114.302,114.285,114.296,57,0,0
2021-12-22 11:38:00,114.296,114.307,114.296,114.298,67,0,0
2021-12-22 11:39:00,114.299,114.307,114.299,114.304,44,0,0
2021-12-22 11:40:00,114.304,114.31,114.304,114.307,35,0,0
2021-12-22 11:41:00,114.306,114.318,114.306,114.314,38,0,0
2021-12-22 11:42:00,114.314,114.319,114.313,114.314,42,0,0
2021-12-22 11:43:00,114.314,114.317,114.314,114.314,18,0,0
2021-12-22 11:44:00,114.316,114.317,114.311,114.313,20,0,0
2021-12-22 11:45:00,114.313,114.314,114.306,114.307,21,0,0
2021-12-22 11:46:00,114.307,114.312,114.307,114.312,18,0,0
2021-12-22 11:47:00,114.312,114.317,114.312,114.315,47,0,0
2021-12-22 11:48:00,114.315,114.316,114.311,114.312,30,0,0
2021-12-22 11:49:00,114.312,114.313,114.308,114.311,20,0,0
2021-12-22 11:50:00,114.312,114.314,114.307,114.313,18,0,0
2021-12-22 11:51:00,114.313,114.314,114.312,114.313,13,0,0
2021-12-22 11:52:00,114.313,114.313,114.308,114.313,27,0,0
2021-12-22 11:53:00,114.313,114.313,114.31,114.311,13,0,0
2021-12-22 11:54:00,114.312,114.316,114.311,114.312,26,0,0
2021-12-22 11:55:00,114.312,114.313,114.308,114.309,19,0,0
2021-12-22 11:56:00,114.312,114.312,114.307,114.308,15,0,0
2021-12-22 11:57:00,114.308,114.308,114.294,114.295,35,0,0
2021-12-22 11:58:00,114.297,114.3,114.29,114.29,34,0,0
2021-12-22 11:59:00,114.29,114.297,114.285,114.297,29,0,0
2021-12-22 12:00:00,114.298,114.308,114.298,114.306,39,0,0
2021-12-22 12:01:00,114.307,114.311,114.305,114.307,31,0,0
2021-12-22 12:02:00,114.307,114.312,114.307,114.309,19,0,0
2021-12-22 12:03:00,114.309,114.312,114.307,114.312,13,0,0
2021-12-22 12:04:00,114.312,114.313,114.311,114.311,11,0,0
2021-12-22 12:05:00,114.311,114.312,114.307,114.311,12,0,0
2021-12-22 12:06:00,114.311,114.312,114.305,114.305,13,0,0
2021-12-22 12:07:00,114.306,114.308,114.303,114.305,22,0,0
2021-12-22 12:08:00,114.305,114.306,114.298,114.298,27,0,0
2021-12-22 12:09:00,114.298,114.3,114.292,114.299,23,0,0
2021-12-22 12:10:00,114.298,114.298,114.283,114.285,91,0,0
2021-12-22 12:11:00,114.286,114.288,114.27,114.271,35,0,0
2021-12-22 12:12:00,114.273,114.273,114.26,114.26,36,0,0
2021-12-22 12:13:00,114.26,114.268,114.258,114.267,26,0,0
2021-12-22 12:14:00,114.268,114.276,114.268,114.275,27,0,0
2021-12-22 12:15:00,114.275,114.28,114.273,114.28,20,0,0
2021-12-22 12:16:00,114.28,114.281,114.276,114.281,9,0,0
2021-12-22 12:17:00,114.282,114.297,114.282,114.292,37,0,0
2021-12-22 12:18:00,114.289,114.289,114.271,114.273,28,0,0
2021-12-22 12:19:00,114.274,114.274,114.267,114.267,31,0,0
2021-12-22 12:20:00,114.268,114.271,114.265,114.267,42,0,0
2021-12-22 12:21:00,114.267,114.276,114.261,114.275,36,0,0
2021-12-22 12:22:00,114.275,114.278,114.268,114.275,21,0,0
2021-12-22 12:23:00,114.276,114.282,114.272,114.276,19,0,0
2021-12-22 12:24:00,114.275,114.286,114.274,114.281,31,0,0
2021-12-22 12:25:00,114.283,114.285,114.273,114.275,41,0,0
2021-12-22 12:26:00,114.274,114.282,114.271,114.278,34,0,0
2021-12-22 12:27:00,114.278,114.288,114.278,114.288,29,0,0
2021-12-22 12:28:00,114.287,114.288,114.286,114.288,8,0,0
2021-12-22 12:29:00,114.288,114.295,114.286,114.287,33,0,0
2021-12-22 12:30:00,114.287,114.289,114.281,114.288,31,0,0
2021-12-22 12:31:00,114.288,114.292,114.282,114.283,19,0,0
2021-12-22 12:32:00,114.283,114.295,114.281,114.294,14,0,0
2021-12-22 12:33:00,114.294,114.296,114.293,114.296,15,0,0
2021-12-22 12:34:00,114.296,114.303,114.295,114.298,14,0,0
2021-12-22 12:35:00,114.298,114.302,114.294,114.299,24,0,0
2021-12-22 12:36:00,114.298,114.3,114.298,114.3,6,0,0
2021-12-22 12:37:00,114.3,114.315,114.299,114.314,20,0,0
2021-12-22 12:38:00,114.314,114.314,114.306,114.306,18,0,0
2021-12-22 12:39:00,114.306,114.306,114.296,114.298,24,0,0
2021-12-22 12:40:00,114.298,114.308,114.293,114.294,27,0,0
2021-12-22 12:41:00,114.294,114.298,114.288,114.296,23,0,0
2021-12-22 12:42:00,114.296,114.3,114.293,114.3,13,0,0
2021-12-22 12:43:00,114.3,114.302,114.294,114.294,29,0,0
2021-12-22 12:44:00,114.294,114.315,114.293,114.314,29,0,0
2021-12-22 12:45:00,114.314,114.314,114.308,114.308,25,0,0
2021-12-22 12:46:00,114.308,114.316,114.308,114.309,20,0,0
2021-12-22 12:47:00,114.309,114.318,114.306,114.315,32,0,0
2021-12-22 12:48:00,114.315,114.318,114.311,114.315,29,0,0
2021-12-22 12:49:00,114.317,114.318,114.311,114.314,18,0,0
2021-12-22 12:50:00,114.314,114.317,114.308,114.31,33,0,0
2021-12-22 12:51:00,114.31,114.314,114.306,114.311,22,0,0
2021-12-22 12:52:00,114.312,114.313,114.309,114.313,20,0,0
2021-12-22 12:53:00,114.314,114.314,114.308,114.314,14,0,0
2021-12-22 12:54:00,114.314,114.314,114.307,114.307,16,0,0
2021-12-22 12:55:00,114.307,114.311,114.306,114.308,11,0,0
2021-12-22 12:56:00,114.307,114.307,114.299,114.301,20,0,0
2021-12-22 12:57:00,114.301,114.302,114.299,114.301,17,0,0
2021-12-22 12:58:00,114.299,114.302,114.299,114.301,24,0,0
2021-12-22 12:59:00,114.301,114.301,114.292,114.292,24,0,0
2021-12-22 13:00:00,114.292,114.302,114.292,114.301,24,0,0
2021-12-22 13:01:00,114.302,114.304,114.3,114.303,46,0,0
2021-12-22 13:02:00,114.302,114.317,114.302,114.314,43,0,0
2021-12-22 13:03:00,114.314,114.315,114.304,114.308,41,0,0
2021-12-22 13:04:00,114.308,114.313,114.308,114.308,27,0,0
2021-12-22 13:05:00,114.309,114.311,114.306,114.31,33,0,0
2021-12-22 13:06:00,114.31,114.313,114.308,114.311,17,0,0
2021-12-22 13:07:00,114.31,114.316,114.31,114.314,19,0,0
2021-12-22 13:08:00,114.313,114.313,114.308,114.308,13,0,0
2021-12-22 13:09:00,114.308,114.308,114.294,114.3,32,0,0
2021-12-22 13:10:00,114.301,114.305,114.301,114.302,23,0,0
2021-12-22 13:11:00,114.303,114.303,114.299,114.299,15,0,0
2021-12-22 13:12:00,114.298,114.308,114.298,114.308,16,0,0
2021-12-22 13:13:00,114.308,114.317,114.307,114.315,19,0,0
2021-12-22 13:14:00,114.315,114.325,114.315,114.324,27,0,0
2021-12-22 13:15:00,114.325,114.336,114.325,114.329,34,0,0
2021-12-22 13:16:00,114.329,114.332,114.327,114.331,18,0,0
2021-12-22 13:17:00,114.331,114.332,114.327,114.329,21,0,0
2021-12-22 13:18:00,114.329,114.333,114.327,114.331,20,0,0
2021-12-22 13:19:00,114.33,114.33,114.319,114.324,17,0,0
2021-12-22 13:20:00,114.324,114.325,114.32,114.325,12,0,0
2021-12-22 13:21:00,114.325,114.332,114.324,114.326,23,0,0
2021-12-22 13:22:00,114.326,114.33,114.316,114.316,22,0,0
2021-12-22 13:23:00,114.316,114.318,114.297,114.298,27,0,0
2021-12-22 13:24:00,114.299,114.299,114.288,114.293,25,0,0
2021-12-22 13:25:00,114.293,114.293,114.286,114.286,27,0,0
2021-12-22 13:26:00,114.286,114.296,114.284,114.295,23,0,0
2021-12-22 13:27:00,114.294,114.295,114.289,114.294,12,0,0
2021-12-22 13:28:00,114.295,114.3,114.294,114.3,23,0,0
2021-12-22 13:29:00,114.301,114.304,114.298,114.302,18,0,0
2021-12-22 13:30:00,114.302,114.309,114.294,114.295,19,0,0
2021-12-22 13:31:00,114.295,114.3,114.292,114.3,25,0,0
2021-12-22 13:32:00,114.3,114.3,114.287,114.29,17,0,0
2021-12-22 13:33:00,114.289,114.293,114.287,114.288,18,0,0
2021-12-22 13:34:00,114.288,114.288,114.273,114.274,18,0,0
2021-12-22 13:35:00,114.274,114.275,114.255,114.255,18,0,0
2021-12-22 13:36:00,114.256,114.256,114.246,114.247,35,0,0
2021-12-22 13:37:00,114.25,114.263,114.25,114.26,32,0,0
2021-12-22 13:38:00,114.26,114.261,114.259,114.261,26,0,0
2021-12-22 13:39:00,114.26,114.261,114.253,114.255,37,0,0
2021-12-22 13:40:00,114.256,114.265,114.255,114.262,31,0,0
2021-12-22 13:41:00,114.262,114.27,114.257,114.265,34,0,0
2021-12-22 13:42:00,114.263,114.264,114.262,114.262,10,0,0
2021-12-22 13:43:00,114.263,114.272,114.262,114.269,31,0,0
2021-12-22 13:44:00,114.269,114.275,114.268,114.272,25,0,0
2021-12-22 13:45:00,114.272,114.278,114.272,114.275,42,0,0
2021-12-22 13:46:00,114.275,114.282,114.274,114.276,37,0,0
2021-12-22 13:47:00,114.276,114.278,114.274,114.275,19,0,0
2021-12-22 13:48:00,114.275,114.275,114.261,114.261,5,0,0
2021-12-22 13:49:00,114.265,114.272,114.265,114.268,15,0,0
2021-12-22 13:50:00,114.269,114.286,114.269,114.28,27,0,0
2021-12-22 13:51:00,114.28,114.28,114.268,114.273,14,0,0
2021-12-22 13:52:00,114.273,114.278,114.271,114.271,11,0,0
2021-12-22 13:53:00,114.271,114.272,114.268,114.272,21,0,0
2021-12-22 13:54:00,114.272,114.273,114.268,114.272,22,0,0
2021-12-22 13:55:00,114.272,114.282,114.272,114.279,23,0,0
2021-12-22 13:56:00,114.279,114.279,114.271,114.279,25,0,0
2021-12-22 13:57:00,114.279,114.284,114.279,114.28,22,0,0
2021-12-22 13:58:00,114.28,114.286,114.277,114.282,48,0,0
2021-12-22 13:59:00,114.282,114.283,114.28,114.282,19,0,0
2021-12-22 14:00:00,114.282,114.287,114.282,114.286,22,0,0
2021-12-22 14:01:00,114.286,114.287,114.282,114.282,38,0,0
2021-12-22 14:02:00,114.284,114.285,114.278,114.28,20,0,0
2021-12-22 14:03:00,114.28,114.291,114.278,114.29,21,0,0
2021-12-22 14:04:00,114.29,114.294,114.277,114.283,25,0,0
2021-12-22 14:05:00,114.283,114.285,114.277,114.278,48,0,0
2021-12-22 14:06:00,114.277,114.282,114.272,114.272,30,0,0
2021-12-22 14:07:00,114.272,114.282,114.272,114.272,18,0,0
2021-12-22 14:08:00,114.273,114.28,114.272,114.279,32,0,0
2021-12-22 14:09:00,114.277,114.282,114.272,114.28,20,0,0
2021-12-22 14:10:00,114.28,114.293,114.279,114.293,26,0,0
2021-12-22 14:11:00,114.294,114.294,114.292,114.292,10,0,0
2021-12-22 14:12:00,114.292,114.292,114.278,114.286,26,0,0
2021-12-22 14:13:00,114.286,114.286,114.277,114.278,40,0,0
2021-12-22 14:14:00,114.279,114.279,114.272,114.276,28,0,0
2021-12-22 14:15:00,114.272,114.279,114.272,114.278,24,0,0
2021-12-22 14:16:00,114.278,114.279,114.275,114.276,26,0,0
2021-12-22 14:17:00,114.277,114.277,114.264,114.265,17,0,0
2021-12-22 14:18:00,114.265,114.266,114.247,114.247,28,0,0
2021-12-22 14:19:00,114.246,114.257,114.233,114.255,36,0,0
2021-12-22 14:20:00,114.258,114.265,114.258,114.262,22,0,0
2021-12-22 14:21:00,114.261,114.261,114.251,114.253,6,0,0
2021-12-22 14:22:00,114.252,114.254,114.251,114.254,15,0,0
2021-12-22 14:23:00,114.254,114.266,114.253,114.261,24,0,0
2021-12-22 14:24:00,114.261,114.267,114.26,114.267,11,0,0
2021-12-22 14:25:00,114.266,114.266,114.259,114.26,23,0,0
2021-12-22 14:26:00,114.259,114.262,114.25,114.255,22,0,0
2021-12-22 14:27:00,114.254,114.254,114.251,114.252,32,0,0
2021-12-22 14:28:00,114.248,114.254,114.245,114.247,31,0,0
2021-12-22 14:29:00,114.247,114.247,114.24,114.242,27,0,0
2021-12-22 14:30:00,114.242,114.26,114.239,114.246,55,0,0
2021-12-22 14:31:00,114.246,114.247,114.232,114.239,31,0,0
2021-12-22 14:32:00,114.24,114.243,114.231,114.231,20,0,0
2021-12-22 14:33:00,114.232,114.232,114.215,114.216,43,0,0
2021-12-22 14:34:00,114.216,114.222,114.212,114.221,18,0,0
2021-12-22 14:35:00,114.221,114.229,114.218,114.228,30,0,0
2021-12-22 14:36:00,114.228,114.229,114.22,114.225,30,0,0
2021-12-22 14:37:00,114.225,114.228,114.221,114.222,12,0,0
2021-12-22 14:38:00,114.222,114.226,114.215,114.219,17,0,0
2021-12-22 14:39:00,114.219,114.219,114.211,114.211,26,0,0
2021-12-22 14:40:00,114.211,114.215,114.209,114.212,16,0,0
2021-12-22 14:41:00,114.212,114.212,114.195,114.202,30,0,0
2021-12-22 14:42:00,114.202,114.203,114.196,114.202,18,0,0
2021-12-22 14:43:00,114.202,114.21,114.2,114.209,19,0,0
2021-12-22 14:44:00,114.209,114.227,114.209,114.223,27,0,0
2021-12-22 14:45:00,114.224,114.226,114.222,114.222,25,0,0
2021-12-22 14:46:00,114.223,114.225,114.217,114.217,9,0,0
2021-12-22 14:47:00,114.216,114.223,114.213,114.222,22,0,0
2021-12-22 14:48:00,114.222,114.223,114.215,114.215,19,0,0
2021-12-22 14:49:00,114.215,114.216,114.209,114.209,9,0,0
2021-12-22 14:50:00,114.208,114.216,114.203,114.205,19,0,0
2021-12-22 14:51:00,114.205,114.214,114.205,114.214,19,0,0
2021-12-22 14:52:00,114.213,114.224,114.21,114.224,27,0,0
2021-12-22 14:53:00,114.226,114.234,114.222,114.228,24,0,0
2021-12-22 14:54:00,114.228,114.235,114.226,114.235,32,0,0
2021-12-22 14:55:00,114.234,114.242,114.232,114.241,24,0,0
2021-12-22 14:56:00,114.241,114.241,114.227,114.229,30,0,0
2021-12-22 14:57:00,114.23,114.232,114.222,114.224,30,0,0
2021-12-22 14:58:00,114.224,114.232,114.223,114.231,18,0,0
